Date,Activité: en amoureux,Activité: jeu de société,Activité: social,Activité: marche,Activité: Vélo,Activité: Sport,Taf: Recherche d'emploi,Ordi: Jeu vidéo,Ordi: Code,Photos: prises,Photos: traitées,Photos: postées,Mood : Heureux,Mood: Anxiété,Mood: Apathie,Mood: Dynamique,Mood : fatigué,Mood : triste,Repas: Resto,Repas: Alcool,Repas : Café,Repas: gras ++,Repas: sucre ++,Repas : quantité ++,Repas: grignotage,Sommeil : couché tard,Sommeil : levé tard,Sommeil : mal dormi,Durée sommeil,Poids,Santé : charge lourde,Santé : Mal de dos
06-16-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-15-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-14-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-13-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-12-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-11-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-10-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-09-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-08-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-07-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-06-24,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-05-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-04-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-03-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-02-24,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
06-01-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-31-24,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-30-24,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-29-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-28-24,-1,-1,-1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-27-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-26-24,2,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
05-25-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,7000,-1,-1,-1
05-24-24,-1,-1,-1,2,2,-1,-1,-1,-1,1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,6500,-1,-1,-1
05-23-24,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,7250,-1,-1,-1
05-22-24,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,5750,-1,-1,-1
05-21-24,-1,-1,-1,-1,-1,-1,2,-1,-1,1,-1,-1,-1,2,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,6500,81000,-1,-1
05-20-24,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,4100,-1,-1,-1
05-19-24,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,-1,2,-1,-1,2,-1,-1,4100,-1,-1,-1
05-18-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,1,2,-1,-1,2,-1,-1,-1,2,2,-1,-1,-1,-1,2,-1,-1,6100,-1,-1,-1
05-17-24,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,1,2,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,4200,-1,-1,-1
05-16-24,-1,-1,-1,2,-1,-1,-1,2,2,1,2,1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,6500,-1,-1,-1
05-15-24,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,2,-1,7000,-1,-1,-1
05-14-24,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,7000,-1,-1,-1
05-13-24,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,5750,-1,-1,-1
05-12-24,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,-1,-1,4100,-1,-1,2
05-11-24,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,2,-1,2,-1,2,-1,2,-1,2,2,2,2,4100,-1,-1,2
05-10-24,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,6100,-1,-1,-1
05-09-24,-1,-1,-1,1,-1,-1,2,-1,2,2,-1,1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,2,4200,-1,-1,2
05-08-24,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,-1,-1,-1,-1,7500,-1,-1,-1
05-07-24,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5250,-1,-1,-1
05-06-24,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,6250,-1,2,-1
05-05-24,2,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,6500,-1,-1,-1
05-04-24,2,-1,-1,2,-1,-1,2,1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,2,6750,-1,-1,-1
05-03-24,1,1,1,2,2,-1,2,2,-1,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,-1,6250,-1,-1,-1
05-02-24,1,1,2,-1,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,6250,-1,-1,2
05-01-24,2,1,2,-1,2,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,7000,-1,-1,2
04-30-24,1,1,1,-1,2,2,1,2,-1,-1,1,2,-1,2,2,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,2,6500,-1,-1,-1
04-29-24,1,1,2,-1,-1,-1,2,1,-1,2,2,2,-1,-1,-1,2,2,-1,-1,-1,2,-1,-1,-1,1,-1,1,2,7500,-1,2,-1
04-28-24,2,1,1,2,-1,-1,2,2,-1,-1,2,2,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,2,2,7500,-1,-1,-1
04-27-24,2,2,2,-1,-1,-1,2,2,-1,-1,1,2,-1,-1,-1,-1,-1,-1,-1,2,2,-1,-1,-1,2,-1,2,2,5250,-1,-1,-1
04-26-24,1,2,2,-1,-1,-1,-1,1,-1,-1,2,2,-1,-1,-1,-1,-1,2,-1,-1,2,2,-1,1,1,2,1,2,7500,-1,-1,-1
04-25-24,1,2,2,2,-1,-1,2,1,-1,-1,1,-1,-1,-1,-1,2,1,-1,-1,-1,2,-1,-1,2,2,2,2,-1,-1,-1,-1,-1
04-24-24,1,2,2,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,2,2,-1,2,2,-1,-1,2,1,-1,1,-1,6400,-1,2,-1
04-23-24,1,2,2,2,-1,-1,-1,-1,2,-1,2,2,-1,2,-1,2,2,-1,-1,-1,2,-1,-1,1,2,-1,2,-1,8000,-1,2,2
04-22-24,1,2,2,2,-1,2,2,-1,2,2,1,2,-1,-1,-1,2,1,-1,-1,2,2,2,-1,2,-1,-1,-1,-1,6200,-1,2,-1
04-21-24,-1,2,2,2,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,2,2,-1,-1,-1,2,-1,-1,1,-1,2,-1,-1,7000,-1,-1,-1
04-20-24,1,2,2,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,5250,-1,-1,-1
04-19-24,1,1,-1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6700,-1,-1,-1
04-18-24,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,5500,-1,-1,-1
04-17-24,1,-1,-1,-1,-1,-1,2,-1,2,2,2,2,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,5500,-1,-1,-1
04-16-24,1,2,-1,-1,-1,-1,2,-1,-1,-1,1,2,-1,2,2,-1,2,-1,-1,2,2,-1,-1,2,2,2,-1,-1,6000,-1,-1,-1
04-15-24,2,-1,-1,2,-1,-1,2,-1,2,2,1,2,-1,-1,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,5900,-1,-1,-1
04-14-24,2,2,-1,-1,2,-1,2,-1,2,2,1,2,2,2,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,2,2,2,-1,7500,-1,-1,-1
04-13-24,-1,2,-1,2,-1,-1,2,-1,-1,2,1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,2,-1
04-12-24,-1,-1,-1,2,2,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,6400,-1,-1,-1
04-11-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,8000,-1,-1,-1
04-10-24,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,6200,-1,-1,-1
04-09-24,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,2,6200,-1,-1,-1
04-08-24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,6000,-1,2,-1
04-07-24,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,2,-1,-1,-1,2,2,-1,-1,0,2,-1,-1,-1,-1,2,2,2,8600,-1,-1,-1
04-06-24,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,6800,-1,-1,-1
04-05-24,-1,-1,2,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,6100,-1,2,-1
04-04-24,-1,2,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,2,2,-1,-1,-1,-1,-1,8000,-1,-1,-1
04-03-24,2,2,2,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,2,-1,-1,2,2,-1,-1,-1,7800,-1,-1,-1
04-02-24,-1,-1,2,2,-1,2,-1,-1,2,-1,-1,-1,1,-1,2,-1,2,-1,2,-1,2,2,2,2,-1,-1,-1,-1,6250,80000,-1,-1
04-01-24,-1,2,-1,-1,-1,-1,-1,2,2,-1,-1,2,2,-1,-1,-1,2,-1,-1,-1,2,2,2,-1,-1,-1,-1,2,6400,-1,-1,2
03-31-24,-1,2,-1,2,-1,-1,-1,-1,2,2,-1,2,2,-1,-1,2,-1,2,2,2,2,2,-1,-1,-1,-1,2,2,5400,-1,-1,2
03-30-24,2,2,-1,2,-1,-1,2,-1,2,-1,-1,-1,1,-1,-1,2,-1,-1,2,2,2,-1,-1,-1,-1,-1,2,2,6380,-1,-1,2
03-29-24,-1,2,2,2,-1,2,-1,-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,6700,80500,-1,2
